Date,Time,MSec,Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,Dark,Opto
1/8/2018,16:28:27,79,97,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:27,282,98,69,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:27,485,99,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:27,688,100,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:27,891,101,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:28,79,102,69,67,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:28,282,103,68,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:28,485,104,68,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:28,688,105,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:28,891,106,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:29,79,107,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:29,290,108,68,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:29,478,109,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:29,681,110,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:29,884,111,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:30,87,112,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:30,290,113,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:30,478,114,68,67,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:30,681,115,68,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:30,884,116,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:31,88,117,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:31,291,118,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:31,479,119,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:31,692,120,68,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:31,885,121,68,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:32,88,122,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:32,291,123,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:32,492,124,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:32,690,125,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:32,878,126,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:33,92,127,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:33,284,128,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:33,487,129,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:33,690,130,68,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:33,892,131,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:34,82,132,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:34,285,133,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:34,488,134,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:34,676,135,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:34,879,136,69,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:35,82,137,68,67,67,68,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:35,285,138,69,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:35,488,139,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:35,691,140,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:35,879,141,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:36,82,142,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:36,285,143,69,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:36,488,144,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:36,691,145,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:36,879,146,69,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:37,82,147,69,68,67,67,65,67,67,65,72,73,72,135,0,0
1/8/2018,16:28:37,285,148,68,68,67,67,66,67,67,65,72,73,72,162,0,0
1/8/2018,16:28:37,488,149,68,67,67,67,66,67,67,65,72,73,72,74,0,0
1/8/2018,16:28:37,691,150,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:37,879,151,69,68,67,67,66,67,67,66,72,73,72,72,0,0
1/8/2018,16:28:38,82,152,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:38,285,153,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:38,488,154,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:38,692,155,68,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:38,879,156,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:39,82,157,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:39,285,158,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:39,489,159,68,67,67,68,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:39,692,160,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:39,879,161,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:40,82,162,68,67,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:40,285,163,68,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:40,489,164,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:40,692,165,69,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:40,879,166,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:41,82,167,68,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:41,286,168,68,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:41,489,169,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:41,692,170,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:41,879,171,68,68,67,68,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:42,83,172,68,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:42,286,173,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:42,489,174,69,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:42,692,175,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:42,880,176,69,67,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:43,83,177,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:43,286,178,68,67,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:43,489,179,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:43,683,180,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:43,886,181,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:44,89,182,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:44,277,183,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:44,480,184,69,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:44,683,185,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:44,886,186,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:45,89,187,69,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:45,277,188,69,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:45,480,189,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:45,683,190,69,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:45,886,191,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:46,89,192,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:46,293,193,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:46,480,194,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:46,683,195,68,68,67,67,66,67,67,65,72,73,72,74,0,0
1/8/2018,16:28:46,886,196,69,68,67,67,66,67,67,65,72,73,72,181,0,0
1/8/2018,16:28:47,90,197,68,67,67,67,66,67,67,65,72,73,72,323,0,0
1/8/2018,16:28:47,277,198,68,68,67,67,65,67,67,65,72,73,72,309,0,0
1/8/2018,16:28:47,480,199,69,68,67,67,66,67,67,65,72,73,72,116,0,0
1/8/2018,16:28:47,683,200,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:47,886,201,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:48,90,202,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:48,277,203,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:48,480,204,68,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:48,683,205,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:48,887,206,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:49,90,207,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:49,277,208,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:49,480,209,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:49,684,210,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:49,887,211,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:50,90,212,68,68,67,67,66,67,67,66,72,73,72,72,0,0
1/8/2018,16:28:50,277,213,69,68,67,67,66,67,67,66,72,73,72,72,0,0
1/8/2018,16:28:50,480,214,69,67,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:50,684,215,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:50,887,216,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:51,90,217,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:51,293,218,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:51,481,219,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:51,684,220,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:51,887,221,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:52,90,222,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:52,278,223,68,67,67,68,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:52,481,224,69,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:52,684,225,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:52,887,226,69,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:53,90,227,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:53,278,228,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:53,481,229,69,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:53,684,230,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:53,887,231,69,68,67,67,66,67,67,65,72,73,104,72,0,0
1/8/2018,16:28:54,90,232,69,68,67,67,65,67,67,65,72,73,150,72,0,0
1/8/2018,16:28:54,278,233,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:54,481,234,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:54,684,235,68,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:54,887,236,69,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:55,90,237,69,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:55,278,238,68,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:55,481,239,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:55,684,240,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:55,887,241,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:56,90,242,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:56,278,243,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:56,481,244,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:56,684,245,68,68,67,68,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:56,887,246,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:57,91,247,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:57,278,248,68,67,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:57,481,249,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:57,684,250,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:57,888,251,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:58,91,252,68,67,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:58,278,253,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:58,481,254,69,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:58,684,255,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:58,888,256,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:59,91,257,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:59,278,258,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:59,481,259,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:59,685,260,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:28:59,888,261,69,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:00,91,262,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:00,278,263,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:00,482,264,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:00,685,265,68,67,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:00,888,266,69,67,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:01,91,267,69,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:01,279,268,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:01,482,269,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:01,685,270,69,67,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:01,888,271,69,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:02,91,272,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:02,279,273,69,68,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:02,482,274,69,67,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:02,685,275,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:02,888,276,68,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:03,91,277,69,67,67,67,65,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:03,279,278,69,68,67,67,66,67,67,65,72,73,72,72,0,0
1/8/2018,16:29:03,482,279,69,68,67,67,66,67,67,65,72,73,72,213,0,0
1/8/2018,16:29:03,685,280,68,68,67,67,66,67,67,65,72,73,72,167,0,0
1/8/2018,16:29:03,888,281,68,68,67,67,65,67,67,65,72,73,72,122,0,0
1/8/2018,16:29:04,91,282,69,68,67,67,65,67,67,65,72,73,72,143,0,0
1/8/2018,16:29:04,279,283,69,68,67,67,66,67,67,65,72,73,72,270,0,0
1/8/2018,16:29:04,482,284,69,68,67,67,66,67,67,65,72,73,72,280,0,0
1/8/2018,16:29:04,685,285,69,67,67,67,65,67,67,65,72,73,72,148,0,0
